STOPSPECNAME, METLINKSTOPID, area_code, area_name, feature_code, feature_name
"Crichton Avenue","21",206051130,"Port Melbourne","206051130","Port Melbourne"
"Rushall Station","27",206071143,"Fitzroy North","206071143","Fitzroy North"
"O'Grady Street","42",206071140,"Carlton North - Princes Hill","206071140","Carlton North - Princes Hill"
"Pickles Street","61",206051132,"South Melbourne","206051132","South Melbourne"
"Clifton Hill Interchange","71",206071143,"Fitzroy North","206071143","Fitzroy North"
"Melbourne University","87",206041124,"Parkville","206041124","Parkville"
"Nicholson Street","103",206071139,"Abbotsford","206071139","Abbotsford"
"Trenerry Crescent","105",206071139,"Abbotsford","206071139","Abbotsford"
"Clarke Street","106",206071139,"Abbotsford","206071139","Abbotsford"
"Northcote Shopping Plaza","235",206021111,"Northcote","206021111","Northcote"
"St. David Street","236",206021111,"Northcote","206021111","Northcote"
"Wales Street","237",206021111,"Northcote","206021111","Northcote"
"Victoria Road","238",206021111,"Northcote","206021111","Northcote"
"Christmas Street","239",206021111,"Northcote","206021111","Northcote"
"Speight Street","240",206021112,"Thornbury","206021112","Thornbury"
"Clyde Street","241",206021112,"Thornbury","206021112","Thornbury"
"Gooch Street","242",206021112,"Thornbury","206021112","Thornbury"
"Victoria Road","243",206021112,"Thornbury","206021112","Thornbury"
"Wilmoth Street","244",206021112,"Thornbury","206021112","Thornbury"
"Rathmines Street","245",206021112,"Thornbury","206021112","Thornbury"
"Station Street","246",206021112,"Thornbury","206021112","Thornbury"
"Collins Street","247",206021112,"Thornbury","206021112","Thornbury"
"Station Street","248",206021112,"Thornbury","206021112","Thornbury"
"Adams Street","249",206021112,"Thornbury","206021112","Thornbury"
"Harry Street","250",206021112,"Thornbury","206021112","Thornbury"
"Victoria Road","251",206021112,"Thornbury","206021112","Thornbury"
"Newcastle Street","252",206021112,"Thornbury","206021112","Thornbury"
"Tharratt Street","253",206021112,"Thornbury","206021112","Thornbury"
"Ford Crescent","318",206021112,"Thornbury","206021112","Thornbury"
"Christmas Street","319",206021110,"Alphington - Fairfield","206021110","Alphington - Fairfield"
"Darling Street","320",206021110,"Alphington - Fairfield","206021110","Alphington - Fairfield"
"Garden City","328",206051130,"Port Melbourne","206051130","Port Melbourne"
"Leith Crescent","329",206051130,"Port Melbourne","206051130","Port Melbourne"
"Rosny Street","330",206051130,"Port Melbourne","206051130","Port Melbourne"
"Page Avenue","331",206051130,"Port Melbourne","206051130","Port Melbourne"
"Walter Street","333",206051130,"Port Melbourne","206051130","Port Melbourne"
"Nott Street","334",206051130,"Port Melbourne","206051130","Port Melbourne"
"Liardet Street","335",206051130,"Port Melbourne","206051130","Port Melbourne"
"Bridge Street","336",206051130,"Port Melbourne","206051130","Port Melbourne"
"Raglan Street","337",206051130,"Port Melbourne","206051130","Port Melbourne"
"Boundary Street","338",206051130,"Port Melbourne","206051130","Port Melbourne"
"Montague Street","339",206051132,"South Melbourne","206051132","South Melbourne"
"Ferrars Street","340",206051132,"South Melbourne","206051132","South Melbourne"
"Cecil Street","341",206051132,"South Melbourne","206051132","South Melbourne"
"Clarendon Street","342",206041126,"Southbank","206041126","Southbank"
"City Road","343",206041126,"Southbank","206041126","Southbank"
"Victoria Street","344",206041117,"Carlton","206041117","Carlton"
"Exhibition Building","345",206041117,"Carlton","206041117","Carlton"
"Melbourne Museum","346",206041117,"Carlton","206041117","Carlton"
"Grattan Street","347",206041117,"Carlton","206041117","Carlton"
"Elgin Street","348",206041117,"Carlton","206041117","Carlton"
"Kay Street","349",206041117,"Carlton","206041117","Carlton"
"Princes Street","350",206041117,"Carlton","206041117","Carlton"
"Lee Street","351",206071140,"Carlton North - Princes Hill","206071140","Carlton North - Princes Hill"
"Newry Street","352",206071140,"Carlton North - Princes Hill","206071140","Carlton North - Princes Hill"
"Fenwick Street","353",206071140,"Carlton North - Princes Hill","206071140","Carlton North - Princes Hill"
"Richardson Street","354",206071140,"Carlton North - Princes Hill","206071140","Carlton North - Princes Hill"
"Pigdon Street","355",206071140,"Carlton North - Princes Hill","206071140","Carlton North - Princes Hill"
