area_code,area_name,no_car_perc
206051130,Port Melbourne,12.03179942
206061135,Armadale,14.9003148
206061136,Prahran - Windsor,22.34491315
206071141,Collingwood,29.34109938
206071142,Fitzroy,28.474043
206071143,Fitzroy North,20.02503129
206071144,Richmond (Vic.),21.85162369
206071145,Yarra - North,10.31024757
206011105,Brunswick,21.58064516
206011106,Brunswick East,18.40490798
206031115,Flemington,26.98496439
206041118,Docklands,26.78571429
206041119,East Melbourne,20.31042129
206041120,Flemington Racecourse,27.27272727
206011107,Brunswick West,18.42531008
206041125,South Yarra - West,20.08046818
206011108,Coburg,13.85172187
206011109,Pascoe Vale South,8.377738307
206021110,Alphington - Fairfield,11.32420091
206021111,Northcote,16.1831219
206021112,Thornbury,16.62213472
206041126,Southbank,26.9493844
206031113,Ascot Vale,15.11539917
206041127,West Melbourne,0
206031114,Essendon - Aberfeldie,11.00581521
206031116,Moonee Ponds,14.52439719
206041117,Carlton,57.84929356
206041121,Kensington,17.74654597
206041122,Melbourne,68.45147219
206041123,North Melbourne,31.5920398
206041124,Parkville,22.15067611
206051128,Albert Park,14.4229204
206051129,Elwood,13.0075299
206051131,Port Melbourne Industrial,0
206051132,South Melbourne,21.40890317
206051133,St Kilda,25.61210454
206051134,St Kilda East,20.06807352
206061137,South Yarra - East,25.49269814
206061138,Toorak,10.47931474
206071139,Abbotsford,16.70281996
206071140,Carlton North - Princes Hill,19.55466743
