area_code,area_name,Income_variable
206041127,West Melbourne,null
206051131,Port Melbourne Industrial,null
206041119,East Melbourne,3.653357118
206041120,Flemington Racecourse,0.290566766
206051129,Elwood,1.526139261
206041126,Southbank,1.636234341
206041125,South Yarra - West,2.957092155
206051133,St Kilda,0.994492454
206061137,South Yarra - East,3.160819877
206041118,Docklands,1.266119723
206071140,Carlton North - Princes Hill,1.071510793
206061135,Armadale,3.032516727
206071145,Yarra - North,1.098394994
206051134,St Kilda East,0.4754535
206051128,Albert Park,3.807070564
206071143,Fitzroy North,1.210651123
206061136,Prahran - Windsor,1.183772294
206041121,Kensington,0.290566766
206071142,Fitzroy,0.500310622
206051132,South Melbourne,1.73773783
206071139,Abbotsford,0.401062145
206061138,Toorak,7.243771628
206041123,North Melbourne,0.054104576
206051130,Port Melbourne,2.299490177
206041122,Melbourne,0.294213368
206071141,Collingwood,0.193437416
206011106,Brunswick East,0.042442797
206071144,Richmond (Vic.),1.024982994
206011105,Brunswick,-0.144445975
206021111,Northcote,0.491438093
206021110,Alphington - Fairfield,0.797267001
206031115,Flemington,0.284593073
206011107,Brunswick West,-0.1163742
206021112,Thornbury,-0.055572423
206031113,Ascot Vale,0.258099179
206041117,Carlton,-0.264485124
206031116,Moonee Ponds,0.755616623
206031114,Essendon - Aberfeldie,0.780136991
206011108,Coburg,-0.404777942
206011109,Pascoe Vale South,-0.179374403
206041124,Parkville,0.559524244
