STOPSPECNAME, STOPNUMBER, METLINKSTOPID, area_code, area_name, feature_code, feature_name
"Armadale Street - Stop 41","41","398",206061135,"Armadale","206061135","Armadale"
"Kooyong Road - Stop 42","42","409",206061135,"Armadale","206061135","Armadale"
"Egerton Road - Stop 43","43","940",206061135,"Armadale","206061135","Armadale"
"Duncraig Avenue - Stop 44","44","946",206061135,"Armadale","206061135","Armadale"
"Maribyrnong Park - Stop 41","41","992",206031116,"Moonee Ponds","206031116","Moonee Ponds"
"Gaffney Street - Stop 37","37","1784",206011108,"Coburg","206011108","Coburg"
"Rogers Street - Stop 36","36","2113",206011108,"Coburg","206011108","Coburg"
"Dorcas Street - Stop 128","128","4039",206051132,"South Melbourne","206051132","South Melbourne"
"Park Street - Stop 129","129","4084",206051132,"South Melbourne","206051132","South Melbourne"
"York Street - Stop 127","127","4124",206051132,"South Melbourne","206051132","South Melbourne"
"City Road - Stop 126","126","4125",206041126,"Southbank","206041126","Southbank"
"Raglan Street - Stop 130a","130a","4126",206051132,"South Melbourne","206051132","South Melbourne"
"Clarendon Street - Stop 130","130","4127",206051128,"Albert Park","206051128","Albert Park"
"Aughtie Drive - Stop 131","131","4128",206051128,"Albert Park","206051128","Albert Park"
"Kerferd Road - Stop 132","132","4129",206051128,"Albert Park","206051128","Albert Park"
"Canterbury Road - Stop 133","133","4130",206051128,"Albert Park","206051128","Albert Park"
"Carter Street - Stop 134","134","4131",206051128,"Albert Park","206051128","Albert Park"
"Richardson Street - Stop 135","135","4132",206051128,"Albert Park","206051128","Albert Park"
"Mills Street - Stop 136","136","4133",206051128,"Albert Park","206051128","Albert Park"
"Harold Street - Stop 137","137","4134",206051128,"Albert Park","206051128","Albert Park"
"Fitzroy Street - Stop 143","143","4135",206051133,"St Kilda","206051133","St Kilda"
"Mary Street - Stop 142","142","4136",206051133,"St Kilda","206051133","St Kilda"
"Deakin Street - Stop 141","141","4137",206051133,"St Kilda","206051133","St Kilda"
"Fraser Street - Stop 140","140","4138",206051133,"St Kilda","206051133","St Kilda"
"Langridge Street - Stop 139","139","4139",206051128,"Albert Park","206051128","Albert Park"
"Armstrong Street - Stop 138","138","4140",206051128,"Albert Park","206051128","Albert Park"
"Gertrude Street - Stop 13","13","4141",206071142,"Fitzroy","206071142","Fitzroy"
"Hanover Street - Stop 14","14","4142",206071142,"Fitzroy","206071142","Fitzroy"
"Bell Street - Stop 15","15","4143",206071142,"Fitzroy","206071142","Fitzroy"
"Johnston Street - Stop 16","16","4144",206071142,"Fitzroy","206071142","Fitzroy"
"Leicester Street - Stop 17","17","4145",206071142,"Fitzroy","206071142","Fitzroy"
"Alexandra Parade - Stop 18","18","4146",206071142,"Fitzroy","206071142","Fitzroy"
"Newry Street - Stop 19","19","4147",206071143,"Fitzroy North","206071143","Fitzroy North"
"Fitzroy Bowls Club - Stop 20","20","4148",206071143,"Fitzroy North","206071143","Fitzroy North"
"Alfred Crescent - Stop 21","21","4149",206071143,"Fitzroy North","206071143","Fitzroy North"
"Scotchmer Street - Stop 22","22","4150",206071143,"Fitzroy North","206071143","Fitzroy North"
"Park Street - Stop 23","23","4151",206071143,"Fitzroy North","206071143","Fitzroy North"
"Holden Street - Stop 24","24","4152",206071143,"Fitzroy North","206071143","Fitzroy North"
"Miller Street - Stop 25","25","4153",206071143,"Fitzroy North","206071143","Fitzroy North"
"Clarke Street - Stop 26","26","4154",206021111,"Northcote","206021111","Northcote"
"Westbourne Grove - Stop 27","27","4155",206021111,"Northcote","206021111","Northcote"
"Sumner Avenue - Stop 28","28","4156",206021111,"Northcote","206021111","Northcote"
"Arthurton Road - Stop 29","29","4157",206021111,"Northcote","206021111","Northcote"
"Gladstone Avenue - Stop 30","30","4158",206021111,"Northcote","206021111","Northcote"
"Gadd Street - Stop 31","31","4159",206021111,"Northcote","206021111","Northcote"
"Normanby Avenue - Stop 32","32","4160",206021112,"Thornbury","206021112","Thornbury"
"Hutton Street - Stop 33","33","4161",206021112,"Thornbury","206021112","Thornbury"
"Miller Street - Stop 34","34","4162",206021112,"Thornbury","206021112","Thornbury"
"Bracken Avenue - Stop 36","36","4163",206021112,"Thornbury","206021112","Thornbury"
"Miller Street - Stop 42","42","4204",206021112,"Thornbury","206021112","Thornbury"
"Blythe Street - Stop 41","41","4205",206021112,"Thornbury","206021112","Thornbury"
"Mansfield Street - Stop 40","40","4206",206021112,"Thornbury","206021112","Thornbury"
"York Street - Stop 127","127","4323",206051132,"South Melbourne","206051132","South Melbourne"
"City Road - Stop 126","126","4324",206041126,"Southbank","206041126","Southbank"
"Dorcas Street - Stop 128","128","4331",206051132,"South Melbourne","206051132","South Melbourne"
"Park Street - Stop 129","129","4332",206051132,"South Melbourne","206051132","South Melbourne"
"Albert Road - Stop 130","130","4333",206051132,"South Melbourne","206051132","South Melbourne"
"Melbourne Aquatic Centre - Stop 131","131","4334",206051128,"Albert Park","206051128","Albert Park"
"Canterbury Road - Stop 132","132","4384",206051128,"Albert Park","206051128","Albert Park"
"Canterbury Road - Stop 133","133","4440",206051128,"Albert Park","206051128","Albert Park"
"Carter Street - Stop 134","134","4441",206051128,"Albert Park","206051128","Albert Park"
"Richardson Street - Stop 135","135","4442",206051128,"Albert Park","206051128","Albert Park"
"Danks Street - Stop 136","136","4443",206051128,"Albert Park","206051128","Albert Park"
"Harold Street - Stop 137","137","4444",206051128,"Albert Park","206051128","Albert Park"
"Mary Street - Stop 142","142","4445",206051133,"St Kilda","206051133","St Kilda"
"Cowderoy Street - Stop 141","141","4446",206051133,"St Kilda","206051133","St Kilda"
"Fraser Street - Stop 140","140","4447",206051128,"Albert Park","206051128","Albert Park"
"Langridge Street - Stop 139","139","4448",206051128,"Albert Park","206051128","Albert Park"
"Armstrong Street - Stop 138","138","4449",206051128,"Albert Park","206051128","Albert Park"
"Gertrude Street - Stop 13","13","4450",206071142,"Fitzroy","206071142","Fitzroy"
"King William Street - Stop 14","14","4451",206071142,"Fitzroy","206071142","Fitzroy"
"St David Street - Stop 15","15","4452",206071142,"Fitzroy","206071142","Fitzroy"
"Johnston Street - Stop 16","16","4453",206071142,"Fitzroy","206071142","Fitzroy"
"Leicester Street - Stop 17","17","4454",206071142,"Fitzroy","206071142","Fitzroy"
"Alexandra Parade - Stop 18","18","4455",206071143,"Fitzroy North","206071143","Fitzroy North"
"Newry Street - Stop 19","19","4456",206071143,"Fitzroy North","206071143","Fitzroy North"
"Fitzroy Bowls Club - Stop 20","20","4457",206071143,"Fitzroy North","206071143","Fitzroy North"
"Alfred Crescent - Stop 21","21","4458",206071143,"Fitzroy North","206071143","Fitzroy North"
"Park Street - Stop 23","23","4460",206071143,"Fitzroy North","206071143","Fitzroy North"
"Holden Street - Stop 24","24","4461",206071143,"Fitzroy North","206071143","Fitzroy North"
"Miller Street - Stop 25","25","4462",206071143,"Fitzroy North","206071143","Fitzroy North"
"Clarke Street - Stop 26","26","4463",206021111,"Northcote","206021111","Northcote"
"Westbourne Grove - Stop 27","27","4464",206021111,"Northcote","206021111","Northcote"
"Sumner Avenue - Stop 28","28","4465",206021111,"Northcote","206021111","Northcote"
"Arthurton Road - Stop 29","29","4466",206021111,"Northcote","206021111","Northcote"
"Gladstone Avenue - Stop 30","30","4468",206021111,"Northcote","206021111","Northcote"
"Gadd Street - Stop 31","31","4469",206021111,"Northcote","206021111","Northcote"
"Normanby Avenue - Stop 32","32","4470",206021112,"Thornbury","206021112","Thornbury"
"Hutton Street - Stop 33","33","4471",206021112,"Thornbury","206021112","Thornbury"
"Miller Street - Stop 34","34","4472",206021112,"Thornbury","206021112","Thornbury"
"Ballantyne Street - Stop 39","39","6032",206021112,"Thornbury","206021112","Thornbury"
"Woolton Avenue - Stop 37","37","6034",206021112,"Thornbury","206021112","Thornbury"
"Darebin Road - Stop 36","36","6035",206021111,"Northcote","206021111","Northcote"
"Dennis Street - Stop 35","35","6036",206021111,"Northcote","206021111","Northcote"
"Bent Street - Stop 34","34","6037",206021111,"Northcote","206021111","Northcote"
"Arthurton Rd - Stop 33","33","6038",206021111,"Northcote","206021111","Northcote"
"Mitchell Street - Stop 32","32","6039",206021111,"Northcote","206021111","Northcote"
"Northcote Town Hall - Stop 31","31","6040",206021111,"Northcote","206021111","Northcote"
"Clarke Street - Stop 30","30","6041",206021111,"Northcote","206021111","Northcote"
"Westgarth Street - Stop 27","27","6044",206021111,"Northcote","206021111","Northcote"
"Walker Street - Stop 26","26","6045",206021111,"Northcote","206021111","Northcote"
"Clifton Hill Interchange - Stop 25","25","6046",206071143,"Fitzroy North","206071143","Fitzroy North"
"Michael Street - Stop 24","24","6047",206071143,"Fitzroy North","206071143","Fitzroy North"
"Wellington Street - Stop 23","23","6048",206071143,"Fitzroy North","206071143","Fitzroy North"
"Smith Street - Stop 22","22","6049",206071143,"Fitzroy North","206071143","Fitzroy North"
"Alexandra Parade - Stop 21","21","6050",206071143,"Fitzroy North","206071143","Fitzroy North"
"Rose Street - Stop 20","20","6051",206071142,"Fitzroy","206071142","Fitzroy"
"Johnston Street - Stop 19","19","6052",206071142,"Fitzroy","206071142","Fitzroy"
"Hodgson Street - Stop 18","18","6053",206071142,"Fitzroy","206071142","Fitzroy"
"Charles Street - Stop 17","17","6054",206071142,"Fitzroy","206071142","Fitzroy"
"Smith Street - Stop 15","15","6056",206071142,"Fitzroy","206071142","Fitzroy"
"Napier Street - Stop 14","14","6057",206071142,"Fitzroy","206071142","Fitzroy"
"Brunswick Street - Stop 13","13","6058",206071142,"Fitzroy","206071142","Fitzroy"
"Hanover Street - Stop 13","13","6059",206071142,"Fitzroy","206071142","Fitzroy"
"Bell Street - Stop 14","14","6060",206071142,"Fitzroy","206071142","Fitzroy"
"Johnston Street - Stop 15","15","6061",206071142,"Fitzroy","206071142","Fitzroy"
"Rose Street - Stop 16","16","6062",206071142,"Fitzroy","206071142","Fitzroy"
"Alexandra Parade - Stop 17","17","6063",206071143,"Fitzroy North","206071143","Fitzroy North"
"Freeman Street - Stop 18","18","6064",206071143,"Fitzroy North","206071143","Fitzroy North"
"Tempany Street - Stop 19","19","6065",206071143,"Fitzroy North","206071143","Fitzroy North"
"Reid Street - Stop 20","20","6066",206071143,"Fitzroy North","206071143","Fitzroy North"
"Scotchmer Street - Stop 21","21","6067",206071143,"Fitzroy North","206071143","Fitzroy North"
"Holden Street - Stop 22","22","6068",206071143,"Fitzroy North","206071143","Fitzroy North"
"Miller Street - Stop 23","23","6069",206071143,"Fitzroy North","206071143","Fitzroy North"
"Glenlyon Road - Stop 24","24","6070",206011106,"Brunswick East","206011106","Brunswick East"
"Albert Street - Stop 25","25","6071",206011106,"Brunswick East","206011106","Brunswick East"
"Victoria Street - Stop 26","26","6072",206011106,"Brunswick East","206011106","Brunswick East"
"Collins Street - Stop 41","41","6104",206021112,"Thornbury","206021112","Thornbury"
"Mansfield Street - Stop 40","40","6105",206021112,"Thornbury","206021112","Thornbury"
"Gooch Street - Stop 39","39","6106",206021112,"Thornbury","206021112","Thornbury"
"Clarendon Street - Stop 38","38","6107",206021112,"Thornbury","206021112","Thornbury"
"Woolton Avenue - Stop 37","37","6108",206021112,"Thornbury","206021112","Thornbury"
