sa1_main11, sa1_7dig11, sa2_5dig11, sa2_name11, sa3_code11, sa3_name11, sa4_code11, sa4_name11, gcc_code11, gcc_name11, ste_code11, ste_name11, Connectivity, Area, Connections, LUM_Residential, LUM_Industrial, LUM_Commercial, LUM_Parkland, LUM_Education, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
"20602111008","2111008","21110","Alphington - Fairfield","20602","Darebin - South","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",91.87976768197505,206791.99000333797,19,184936.4608992378,21855.52910415735,0.0,0.0,0.0,0.20964151061316022,38.126245400490106,-1.0898973257489069,-0.6081007258010857,-0.6396843367692557,-2.337682388319248
"20604112615","2112615","21126","Southbank","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",259.13383553805755,239258.60500333775,62,60400.95514435269,90046.79851491367,71836.84479885653,0.0,13341.245830284432,0.7712481480237691,530.9535914560738,1.7082081080590423,6.698707246577942,2.0314658296082304,10.438381184245214
"20601110506","2110506","21105","Brunswick","20601","Brunswick - Coburg","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",158.20305627793164,158024.76000261283,25,137264.63972946058,4251.295867092878,16508.82440622479,0.0,0.0,0.28307293851387827,50.61185115535083,0.01966943449303228,-0.4229853412759169,-0.2904249837126244,-0.693740890495509
"20606113726","2113726","21137","South Yarra - East","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",221.362924142627,216838.48000251828,48,188083.6876564846,0.0,28299.00978670552,455.7825593340676,0.0,0.2498472840126656,73.25686232679892,1.0763132084601068,-0.08724352522927387,-0.44845501155936895,0.540614671671464
"20606113730","2113730","21137","South Yarra - East","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",220.03549231653218,168154.69000234577,37,93364.87613418425,0.0,66634.2454306164,7683.45294452575,472.1154929876211,0.5287486182428167,103.16086230160938,1.0541057114872883,0.35612226437389355,0.8780737288534454,2.2883017047146272
"20606113731","2113731","21137","South Yarra - East","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",195.70254090843258,148184.075001708,29,119368.58660535673,0.0,18128.866818381706,2078.3188124720473,8608.302765479631,0.4078309806858572,79.36859783303737,0.647023453768005,0.003370922364748975,0.30295736419036695,0.9533517403231209
"20606113801","2113801","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",194.3595478218014,195513.93500277284,38,163129.94693228463,0.0,32383.98807036604,0.0,0.0,0.27891556031673714,54.81106884968237,0.6245556220348916,-0.36072646385713786,-0.3101985774048023,-0.04636941922704857
"20606113802","2113802","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",177.45164674227587,123977.43500206553,22,108761.98182235082,0.0,10369.847354355566,4845.605825294693,0.0,0.2790515646855728,57.936518183990145,0.34169200926096055,-0.3143876023958847,-0.309551704543544,-0.2822472976784682
"20606113803","2113803","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",172.5369128573408,168079.9750020922,29,159596.19210856385,0.0,0.0,3825.156012488106,4658.626881184056,0.14579807554802524,50.67151315977675,0.2594701311001853,-0.4221007742707039,-0.9433406521266214,-1.1059712952971401
"20606113804","2113804","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",120.01617817976752,99986.52000087581,12,93045.28056817917,0.0,0.0,0.0,6941.239432543516,0.15666377889730504,32.74824605043727,-0.6191844509537302,-0.6878365782064497,-0.8916604842371226,-2.1986815133973026
"20606113805","2113805","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",122.59109018432582,122357.99500148225,15,122357.99500137851,0.0,0.0,0.0,0.0,0.0,42.90059645093421,-0.5761070217235396,-0.5373147464971154,-1.6367949808597173,-2.750216749080372
"20606113806","2113806","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",109.37026460810209,45716.26500051096,5,40137.61933195405,0.0,0.0,1300.791956342593,4277.853712177835,0.2716578856918861,30.342120894292357,-0.7972870764657083,-0.7235105208441184,-0.3447180034412694,-1.865515600751096
"20606113807","2113807","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",112.05141656994526,151716.06500296388,17,151716.06500307622,0.0,0.0,0.0,0.0,0.0,45.23482597019019,-0.7524322877633277,-0.5027067504166008,-1.6367949808597173,-2.891934019039646
"20601110507","2110507","21105","Brunswick","20601","Brunswick - Coburg","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",169.04881343206,254364.40000379842,43,174025.3368574871,52650.7130558996,27688.35009046307,0.0,0.0,0.5139183296188838,50.67656514635381,0.2011153772777618,-0.4220258719827261,0.8075369415606674,0.586626446855703
"20606113808","2113808","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",103.32346111961787,145175.1600019908,15,145175.16000188602,0.0,0.0,0.0,0.0,0.0,29.01646405288489,-0.8984481060010581,-0.7431651119599743,-1.6367949808597173,-3.27840819882075
"20606113809","2113809","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",93.44231198596984,149825.06000174815,14,147376.01792500686,0.0,0.0,0.0,2449.042076835045,0.051853776200539145,21.43220048157654,-1.06375647450614,-0.855611708056956,-1.3901646640173213,-3.3095328465804172
"20606113810","2113810","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",125.06158124709324,215893.6400032728,27,201847.24725339806,0.0,0.0,0.0,14046.39274979903,0.14953878715074012,25.622769517501634,-0.5347765204358119,-0.7934810582755034,-0.9255488353026038,-2.253806414013919
"20606113811","2113811","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",99.92753588072802,90065.26500105299,9,90065.26500104736,0.0,0.0,0.0,0.0,0.0,20.540673160303868,-0.9552608160627327,-0.8688297630021744,-1.6367949808597173,-3.460885559924624
"20606113812","2113812","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",133.20949924341582,105097.61000165297,14,95440.57150119304,0.0,0.0,9657.038500419585,0.0,0.19067564963509614,85.03397481087401,-0.3984645376423683,0.08736752279592827,-0.7298910033795872,-1.0409880182260274
"20606113813","2113813","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",207.517623344557,144566.03500218756,30,144566.03500216448,0.0,0.0,0.0,0.0,0.0,56.255626034947234,0.8446858890628862,-0.3393090201167894,-1.6367949808597173,-1.1314181119136204
"20606113814","2113814","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",163.36028845876672,146914.53000254568,24,126723.10345090412,0.0,19346.070101811194,0.0,845.3564499171916,0.2635539287677533,80.95633730657859,0.1059482292247747,0.026911230215327146,-0.38326257261876395,-0.2504031131786621
"20606113815","2113815","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",148.65226953452353,147996.3950021674,22,120753.69016974527,0.0,21319.352681777636,0.0,5923.352150646853,0.3565893097385093,73.13899632096458,-0.14011208009988343,-0.08899104244396537,0.05923838232869841,-0.16986474021515038
"20606113816","2113816","21138","Toorak","20606","Stonnington - West","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",121.09817638714308,123866.44000357168,15,113109.61323125301,0.0,9823.256147836008,0.0,933.5706243591849,0.1993195472504588,62.89997653465279,-0.6010829775352592,-0.2407978608008583,-0.6887783330239043,-1.5306591713600217
