area_code,area_name,avg_life_satisfaction
206071140,Carlton North - Princes Hill,76.768
206071139,Abbotsford,77.265
206061138,Toorak,78.975
206061137,South Yarra - East,75.982
206051134,St Kilda East,75.638
206051133,St Kilda,75.554
206051132,South Melbourne,76.625
206051131,Port Melbourne Industrial,null
206051129,Elwood,76.467
206051128,Albert Park,77.842
206041124,Parkville,76.151
206041123,North Melbourne,75.01
206041122,Melbourne,73.319
206041121,Kensington,76.382
206041117,Carlton,71.713
206031116,Moonee Ponds,78.261
206031114,Essendon - Aberfeldie,78.567
206041127,West Melbourne,null
206031113,Ascot Vale,77.098
206041126,Southbank,75.885
206021112,Thornbury,76.703
206021111,Northcote,77.394
206021110,Alphington - Fairfield,77.622
206011109,Pascoe Vale South,78.575
206011108,Coburg,77.429
206011107,Brunswick West,76.527
206041120,Flemington Racecourse,null
206041119,East Melbourne,77.113
206041118,Docklands,76.224
206031115,Flemington,75.026
206011106,Brunswick East,76.708
206011105,Brunswick,76.464
206071144,Richmond (Vic.),76.531
206071145,Yarra - North,77.93
206071143,Fitzroy North,76.793
206071142,Fitzroy,75.247
206071141,Collingwood,74.361
206061136,Prahran - Windsor,76.245
206061135,Armadale,77.526
206041125,South Yarra - West,77.177
206051130,Port Melbourne,77.441
