 area_name,area_code,median_equivalised_household_income_synthetic_estimates
Abbotsford,206071139,10074
Albert Park,206051128,1093
Alphington - Fairfield,206021110,7786
Armadale,206061135,9886
Ascot Vale,206031113,7414
Brunswick,206011105,8312
Brunswick East,206011106,8528
Brunswick West,206011107,6958
Carlton,206041117,435
Carlton North - Princes Hill,206071140,10208
Coburg,206011108,7168
Collingwood,206071141,736
Docklands,206041118,1103
East Melbourne,206041119,11414
Elwood,206051129,10354
Essendon - Aberfeldie,206031114,773
Fitzroy,206071142,8246
Fitzroy North,206071143,966
Flemington,206031115,6322
Flemington Racecourse,206041120,null
Kensington,206041121,9794
Melbourne,206041122,7102
Moonee Ponds,206031116,8398
North Melbourne,206041123,733
Northcote,206021111,8046
Parkville,206041124,8338
Pascoe Vale South,206011109,7396
Port Melbourne,206051130,10354
Port Melbourne Industrial,206051131,null
Prahran - Windsor,206061136,9952
Richmond (Vic),206071144,10076
South Melbourne,206051132,9886
South Yarra - East,206061137,10224
South Yarra - West,206041125,11012
Southbank,206041126,9794
St Kilda,206051133,9886
St Kilda East,206051134,9106
Thornbury,206021112,7102
Toorak,206061138,10398
West Melbourne,206041127,null
Yarra - North,206071145,10208
